form,lemma,POS,morph
Quo,qui1,PROrel,Case=Abl|Numb=Sing|Gend=MascNeut
deinde,deinde,ADV,Deg=Pos
expleto,expleo,VER,Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Perf|Voice=Pass
confestim,confestim,ADV,Deg=Pos
dona,donum,NOMcom,Case=Acc|Numb=Plur
uouebit,uoueo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Turtures,Turtures,NOMpro,Case=Acc|Numb=Plur
aut,aut,CONcoo,MORPH=empty
geminos,geminus,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
similes,similis,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
aut,aut,CONcoo,MORPH=empty
terga,tergum,NOMcom,Case=Acc|Numb=Plur
columbas,columba,NOMcom,Case=Acc|Numb=Plur
Aut,aut,CONcoo,MORPH=empty
grege,grex,NOMcom,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
molli,mollis,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
candentis,candens,ADJqua,Case=Gen|Numb=Plur|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
uelleris,uellus,NOMcom,Case=Gen|Numb=Sing
agnum,agnus,NOMcom,Case=Acc|Numb=Sing
Vt,ut4,CONsub,MORPH=empty
saniem,sanies,NOMcom,Case=Acc|Numb=Sing
precibus,prex,NOMcom,Case=Abl|Numb=Plur
ualeat,ualeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
cohibere,cohibeo,VER,Mood=Inf|Tense=Pres|Voice=Act
sacerdos,sacerdos,NOMcom,Case=Nom|Numb=Sing
Morborum,morbus,NOMcom,Case=Gen|Numb=Plur
quoque,quoque,ADV,Deg=Pos
effigies,effigies,NOMcom,Case=Nom|Numb=Plur
et,et2,CONcoo,MORPH=empty
signa,signum,NOMcom,Case=Nom|Numb=Plur
docentur,doceo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
Dumtaxat,dumtaxat,ADV,Deg=Pos
quos,qui1,PROrel,Case=Acc|Numb=Plur|Gend=Masc
lepra,lepra,NOMcom,Case=Nom|Numb=Sing
creat,creo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
corpore,corpus,NOMcom,Case=Abl|Numb=Sing
toto,totus,PROind,Case=Abl|Numb=Sing|Gend=MascNeut
Lutea,luteus2,ADJqua,Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
pallenti,pallens,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
perfundit,perfundo2,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uiscera,uiscus2,NOMcom,Case=Acc|Numb=Plur
tabo,tabum,NOMcom,Case=Abl|Numb=Sing
Albentemque,albeo,ADJqua,Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
{Albentemque},que,CON,MORPH=empty
cutem,cutis,NOMcom,Case=Acc|Numb=Sing
maculis,macula,NOMcom,Case=Abl|Numb=Plur
feralibus,feralis,ADJqua,Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
implet,impleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Vt,ut4,CONsub,MORPH=empty
quia,quia,CONsub,MORPH=empty
per,per,PRE,MORPH=empty
domini,dominus,NOMcom,Case=Gen|Numb=Sing
nonnumquam,nonnumquam,ADV,Deg=Pos
exaestuat,exaestuo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iram,ira,NOMcom,Case=Acc|Numb=Sing
Hoc,hic1,PROdem,Case=Abl|Numb=Sing|Gend=MascNeut
medicante,medico,VER,Case=Abl|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
fugam,fuga,NOMcom,Case=Acc|Numb=Sing
capiat,capio2,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
corpusque,corpus,NOMcom,Case=Acc|Numb=Sing
{corpusque},que,CON,MORPH=empty
relinquat,relinquo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
Orantis,oro,VER,Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
pro,pro1,PRE,MORPH=empty
noxa,noxa,NOMcom,Case=Abl|Numb=Sing
uiri,uir,NOMcom,Case=Gen|Numb=Sing
munusque,munus,NOMcom,Case=Acc|Numb=Sing
{munusque},que,CON,MORPH=empty
ferentis,fero,VER,Case=Gen|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
Paupertas,paupertas,NOMcom,Case=Nom|Numb=Sing
quod,quod1,PROrel,Case=Acc|Numb=Sing|Gend=Neut
praestat,praesto1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ouans,ouo,VER,Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
uincere,uinco,VER,Mood=Inf|Tense=Pres|Voice=Act
dites,diues,ADJqua,Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos
Saepe,saepe,ADV,Deg=Pos
solet,soleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
dominus,dominus,NOMcom,Case=Nom|Numb=Sing
uotum,uotum,NOMcom,Case=Acc|Numb=Sing
quia,quia,CONsub,MORPH=empty
simplicis,simplex,ADJmul,Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
haurit,haurio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Nec,nec2,CONcoo,MORPH=empty
grandis,grandis,ADJqua,Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos
inpensa,impensa,NOMcom,Case=Nom|Numb=Sing
tamen,tamen,ADV,Deg=Pos
praestanda,praesto1,VER,Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass
medendi,medeor,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
Nam,nam,CONcoo,MORPH=empty
pullos,pullus1,NOMcom,Case=Acc|Numb=Plur
offerre,offero,VER,Mood=Inf|Tense=Pres|Voice=Act
duos,duo,ADJcar,Case=Acc|Numb=Plur|Gend=Masc
agnosque,agnus,NOMcom,Case=Acc|Numb=Plur
{agnosque},que,CON,MORPH=empty
gemellos,gemellus2,ADJqua,Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
Vt,ut4,CONsub,MORPH=empty
uitulo,uitulus,NOMcom,Case=Abl|Numb=Sing
coniungat,coniungo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ouem,ouis,NOMcom,Case=Acc|Numb=Sing
ius,ius1,NOMcom,Case=Acc|Numb=Sing
