form,lemma,POS,morph
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
quidquid,quisquis1,PROrel,Case=Nom|Numb=Sing|Gend=Neut
autem,autem,CONcoo,MORPH=empty
reliquum,reliquus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est,sum1,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
erit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
Aaron,Aaron,NOMpro,Case=Ind|Numb=Sing
et,et2,CONcoo,MORPH=empty
filiorum,filius,NOMcom,Case=Gen|Numb=Plur
ejus,is,PROdem,Case=Gen|Numb=Sing|Gend=Com
Sanctum,sanctus,ADJqua,Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
sanctorum,sanctus,ADJqua,Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
de,de,PRE,MORPH=empty
oblationibus,oblatio,NOMcom,Case=Abl|Numb=Plur
Domini,dominus,NOMcom,Case=Gen|Numb=Sing
Omnis,omnis,PROind,Case=Nom|Numb=Sing|Gend=Com
oblatio,oblatio,NOMcom,Case=Nom|Numb=Sing
quae,qui1,PROrel,Case=Nom|Numb=Sing|Gend=Fem
offeretur,offero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
Domino,dominus,NOMcom,Case=Dat|Numb=Sing
absque,absque2,PRE,MORPH=empty
fermento,fermentum,NOMcom,Case=Abl|Numb=Sing
fiet,fio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
nec,nec2,CONcoo,MORPH=empty
quidquam,quisquam,PROind,Case=Nom|Numb=Sing|Gend=Neut
